"lake","year","ba","type","size","times_treat","type_times_treat","period","event","site","tl","tlgroup","count","date","size_class"
"ae1","2017","before","control",1.6,"0","control","before",2,15,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,15,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,15,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","after",2,1,NA,"0",11,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,1,NA,"25",12,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,1,NA,"50",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,1,NA,"75",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,1,NA,"100",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,1,NA,"125",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,2,NA,"0",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,2,NA,"25",12,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,2,NA,"50",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,2,NA,"75",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,2,NA,"100",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,2,NA,"125",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,3,NA,"0",13,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,3,NA,"25",3,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,3,NA,"50",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,3,NA,"75",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,3,NA,"100",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,3,NA,"125",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,4,NA,"0",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,4,NA,"25",4,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,4,NA,"50",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,4,NA,"75",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,4,NA,"100",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,4,NA,"125",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,5,NA,"0",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,5,NA,"25",5,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,5,NA,"50",0,"6/16","small"
